"Path","LineNumber","Line"
"C:\Users\pedro\Downloads\biskate - Backup before GigHub\app\page.tsx","200","                    onClick={() => router.push(""/dashboard/create-biskate"")}"
"C:\Users\pedro\Downloads\biskate - Backup before GigHub\app\page.tsx","326","                  onClick={() => router.push(""/dashboard/create-biskate"")}"
"C:\Users\pedro\Downloads\biskate - Backup before GigHub\app\dashboard\page.tsx","144","        { href: ""/dashboard/create-biskate"", icon: Plus, label: ""Create Gig"", color: ""bg-blue-600"" },"
"C:\Users\pedro\Downloads\biskate - Backup before GigHub\app\dashboard\page.tsx","153","        { href: ""/dashboard/create-biskate"", icon: Plus, label: ""Create Gig"", color: ""bg-blue-600"" },"
"C:\Users\pedro\Downloads\biskate - Backup before GigHub\app\dashboard\page.tsx","161","      { href: ""/dashboard/create-biskate"", icon: Plus, label: ""Create Gig"", color: ""bg-blue-600"" },"
"C:\Users\pedro\Downloads\biskate - Backup before GigHub\app\dashboard\page.tsx","355","                  <Link href=""/dashboard/create-biskate"">"
"C:\Users\pedro\Downloads\biskate - Backup before GigHub\app\dashboard\my-gigs\page.tsx","115","        <Link href=""/dashboard/create-biskate"">"
"C:\Users\pedro\Downloads\biskate - Backup before GigHub\app\dashboard\my-gigs\page.tsx","129","              <Link href=""/dashboard/create-biskate"">"
